Product,ProductID,Price,Date,Quantity Sold,C Name,C Location,Region
Mobile Phone,0AB6C496,155591,30-01-2025,7,John Hill,Veronicaport,North
Mobile Phone,547830F3,94364,29-02-2024,8,Daniel Harris,Willisfurt,Central
Laptop,6EB45546,143110,30-01-2024,3,Samantha Wood,Adammouth,West
Laptop,2BCF6285,56929,13-11-2024,2,Alice Gardner,Lake Monica,East
Mobile Phone,897B1108,11439,26-07-2023,8,Tiffany Krueger,New Normamouth,South
Mobile Phone,BE326B71,130629,28-10-2023,6,Jonathan Hill,West Ericbury,South
Mobile Phone,3D77F3D1,25237,11-10-2023,7,Katherine Miller,Lake Phillipborough,East
Mobile Phone,D8F52A46,68715,25-04-2024,5,Dustin Wilkins,Gouldville,West
Mobile Phone,FF920FFF,68955,23-03-2024,3,Lonnie Rodriguez MD,Micheleshire,West
Laptop,B9A86E67,135581,20-01-2025,1,Taylor Abbott,Martinberg,North
Laptop,F5A7CFA3,7015,14-12-2023,8,Kathleen Massey,New Kristieport,South
Laptop,5BF1FB71,162166,13-01-2024,3,Janet Collins,North Ericfurt,West
Mobile Phone,4170B497,69590,26-04-2023,7,Lauren Roberts,Davidtown,West
Laptop,23EBF79A,118101,27-04-2023,4,Sherry Martinez,Deckerton,West
Laptop,2A95D723,150686,09-08-2023,10,Andre Carroll,Matthewberg,North
Laptop,10D09396,128606,29-11-2023,10,Theresa Todd,Jamesfort,East
Laptop,32D06DA0,71067,29-11-2024,3,Katherine Crawford,New Jenniferview,West
Mobile Phone,E1CC647B,154664,30-11-2024,5,David Brewer,Lake Kellymouth,South
Laptop,0B4C715A,90665,06-03-2025,9,Michelle Hardy,Davidberg,North
Mobile Phone,0EEB99D4,47125,23-09-2024,9,Megan Beasley,Port Beverly,East
Laptop,C8BAAC79,146114,26-12-2023,4,Chelsea Horn,Aguilarshire,North
Laptop,3F399072,197075,26-09-2023,8,Diane Palmer,Bellmouth,Central
Mobile Phone,FCB65F1A,144987,12-07-2023,8,Stephanie Stone,East Mirandaside,East
Mobile Phone,4AEEAA37,41820,03-11-2023,1,Samantha Turner,West Ronaldburgh,East
Mobile Phone,D7C5C2A8,56078,05-08-2024,3,Brian Thomas,Walkerland,Central
Laptop,2C2BD7F6,100321,02-02-2025,1,Michael Sullivan,Williamsstad,East
Laptop,25D47C7A,13588,09-10-2024,7,Harold Nolan,Timothyburgh,West
Laptop,E9DB8534,136309,17-02-2024,1,Kyle Barron,Alexandriashire,East
Mobile Phone,DECDC3C3,93961,20-02-2025,2,Betty Snyder,Port Stephaniehaven,South
Mobile Phone,C2F88802,56964,01-08-2024,6,Amanda Alvarez,South Kelly,South
Laptop,5B00EE28,191149,19-10-2023,4,Bianca Perez,Poolemouth,Central
Laptop,2033356D,107654,08-06-2023,7,Miranda Cook,Knappberg,Central
Laptop,B5714ED0,15497,25-08-2023,7,David Bradley,Rebeccatown,East
Laptop,C08D0A20,60100,01-04-2024,4,Elizabeth Jackson,East Kevinstad,North
Laptop,A7631B1A,178421,15-04-2024,10,Anthony Henry,Dorothyberg,East
Laptop,082DAFE9,62319,29-04-2024,8,Pamela Maxwell,New Taylor,South
Mobile Phone,A5C8DE7A,115337,08-05-2024,6,Jennifer Warner,New Lori,North
Mobile Phone,7DD2749F,128643,05-07-2023,8,David Knight,New Peter,East
Laptop,AE9EFC43,65217,24-02-2025,1,Maria Hopkins,South William,East
Laptop,C47D4A2E,79780,05-09-2024,10,Robert Spencer,Kingburgh,East
Laptop,B4F71F7D,151181,26-08-2024,4,Kyle Foster,South Gerald,East
Laptop,95D8C40E,10719,27-06-2024,7,Michael Carter,Robertchester,East
Mobile Phone,21CA7D5F,55754,11-08-2023,6,Melanie French,New Madison,East
Mobile Phone,6E16B093,110906,06-03-2024,6,Robert Cobb,Abigailtown,Central
Mobile Phone,C1B415C1,174212,14-02-2024,10,Sean Mccoy,Lake Ronaldland,South
Mobile Phone,4A034EB0,148622,22-03-2023,5,Anna Anderson,East Johnland,West
Mobile Phone,75B0FC94,136200,01-02-2024,1,Robin Hobbs,Morrismouth,Central
Mobile Phone,F4F24EA6,112448,18-02-2025,2,Patrick Gomez,Bettymouth,Central
Mobile Phone,8EB13CED,121904,21-09-2023,5,Gina Jordan,Tuckerport,East
Mobile Phone,444F53A5,124068,22-02-2025,10,Lauren Gibson,Cynthiaville,South
Mobile Phone,32F9B20F,155338,15-03-2025,9,Kimberly Larson,Lake Lauriechester,Central
Mobile Phone,3C9210DD,134280,21-07-2024,8,Mrs. Erin Alexander,Nicolechester,Central
Laptop,4CC0F824,85638,30-05-2024,8,Nathaniel Dominguez,Lake Justin,West
Mobile Phone,C110B7E1,139790,24-10-2023,7,Jenna Dean,Greenborough,South
Mobile Phone,607D27B4,197867,01-12-2024,6,Jennifer Adams,West Arthur,South
Laptop,3C1A4A9B,11534,08-09-2024,5,Keith Thomas,Perryfort,West
Mobile Phone,3D04FEEA,170958,11-11-2023,9,Marcus Rodriguez,Powersfort,East
Laptop,CB37ED95,197178,25-06-2023,3,Abigail Smith,Stephensonton,Central
Laptop,F603AE06,36342,19-08-2024,10,Juan George,South Dianeburgh,North
Laptop,859E351B,161210,27-07-2023,5,Sharon Morris,Kimberlybury,South
Mobile Phone,49737CC5,170003,29-05-2024,10,Kerri Ortiz,East Kathryn,South
Laptop,9F0BC862,17243,12-05-2024,8,Jennifer Benitez,East Barbaratown,Central
Laptop,D8168ECC,125043,02-06-2024,3,Kelly Baker,West Jeremiahbury,East
Laptop,77232AF9,184619,27-03-2023,5,Amy Rogers,North Donald,Central
Mobile Phone,36025554,32511,22-03-2024,8,Amanda Rogers,New Michaelburgh,North
Laptop,5A077387,108200,21-07-2024,9,Thomas Wilson,Terryville,West
Mobile Phone,B4AE03BE,166928,23-08-2024,8,Jacob Ryan,North Jamie,Central
Laptop,2E151090,137198,10-03-2025,8,Frank Sweeney,Port Michael,South
Laptop,75C9DE7C,149766,08-05-2023,10,Antonio Baldwin III,East Tinamouth,Central
Laptop,4DD8EEF1,137096,17-08-2024,6,Alex White,Lake Kenneth,North
Mobile Phone,31D6E768,142083,02-05-2024,10,Samuel Brown,Port Andrewshire,East
Mobile Phone,070105D8,149052,12-01-2024,9,Anthony Rivera,Smithmouth,South
Mobile Phone,AE096E7E,10357,17-08-2023,2,Brenda Lee,West Shellyport,North
Mobile Phone,6474ABBE,42725,09-10-2023,1,Jacob Salazar,Gabrielleport,West
Laptop,083B81C3,161273,27-04-2023,8,Julie Rojas,Hughesside,South
Mobile Phone,27BFD7C0,84966,02-05-2023,10,Gary Ochoa,South Antonio,North
Mobile Phone,8E3152AA,33059,15-07-2024,10,Larry Rodriguez,West James,North
Laptop,10621027,186932,19-02-2024,9,Christine Schwartz,Lake Thomasberg,Central
Laptop,473A54EA,160413,16-03-2024,7,Heather Wilson,South Beverly,West
Mobile Phone,8E5950DE,80306,08-09-2023,8,Julie Lee,Martinport,South
Laptop,6C6C6A7E,84156,25-09-2024,6,Teresa Benitez,Christopherfort,South
Mobile Phone,CE00009C,104190,02-11-2024,10,Jessica Perez,Brennanfurt,West
Laptop,5BFC8BBB,49596,02-08-2023,10,Julia Wilson DVM,Lake Rebecca,East
Mobile Phone,ABA479D3,66986,05-01-2024,1,William Rogers,East Patriciaborough,Central
Mobile Phone,C3A6075A,13471,16-03-2025,6,Jasmine Cuevas,Crystalhaven,North
Mobile Phone,D771E88F,9552,17-02-2025,7,Nathan Heath,Brownview,South
Mobile Phone,A3B9D57C,133410,19-09-2023,2,Adam Sullivan,Tuckerchester,Central
Mobile Phone,6F83C1C0,161894,29-04-2024,6,Joshua Roberts,Port Justin,East
Mobile Phone,74176C0D,107937,03-09-2024,9,Timothy Santos,Watkinsborough,East
Laptop,FE2F8E8D,80191,14-04-2023,6,Keith Hall,East Sarah,South
Mobile Phone,089F73BC,117404,22-12-2024,2,Jeffrey Brock,New Amandastad,Central
Mobile Phone,70D834A8,10231,12-05-2024,1,Dawn Todd,South Anthonyton,North
Mobile Phone,801FC234,168378,11-03-2024,9,Jessica Wilson,Willisborough,Central
Laptop,7AFC2E71,193541,11-09-2024,7,Randy Rhodes,East Russellstad,South
Mobile Phone,BB9C3D49,23922,10-10-2023,8,Maria Frey,South Marcside,Central
Mobile Phone,7512EC05,145349,19-10-2024,1,Michael Meyer,New Darrylmouth,East
Laptop,7A1F15B1,30058,29-04-2023,1,Edward Palmer,Wisemouth,West
Laptop,B6644D22,68717,08-04-2023,2,Daniel Carter,Lauriestad,South
Laptop,E6B0429F,89251,21-04-2024,10,Marcia Simpson,Weaverland,Central
Mobile Phone,BA46842A,44965,01-04-2024,2,Austin Kelly,New Desiree,Central
Laptop,76183088,162143,04-02-2025,7,Richard Wong,New Jameshaven,East
Laptop,E3D31276,192855,24-04-2024,4,Holly White,Nelsonstad,Central
Mobile Phone,48A0277C,114202,22-06-2024,9,Justin Lawson,Bryanmouth,Central
Mobile Phone,A2C9AC5C,21871,28-02-2025,3,Mr. Cory Lewis,North Cherylland,East
Laptop,FB33428E,146648,18-07-2023,8,Brett Tran,New Joseph,West
Laptop,4B6EB507,199198,11-04-2024,10,John Scott,Evansville,Central
Laptop,3C151ED2,157754,02-09-2024,9,Crystal Holloway,West Jennifer,West
Mobile Phone,1B0206B3,64785,11-08-2023,1,Lee Anderson,North Johnmouth,South
Mobile Phone,00F0476A,180483,13-03-2025,7,Melissa Anderson,Longberg,Central
Mobile Phone,B09046C4,134270,11-11-2023,7,James Moore,Grahamland,South
Mobile Phone,BA2ED98C,118159,22-08-2024,8,Sheila Vasquez,Lake Jenniferhaven,East
Mobile Phone,95CD6741,83773,07-10-2024,2,Jennifer Skinner,South Melissa,South
Mobile Phone,17D2B925,109952,01-02-2024,7,John Hall,Lake Rachel,South
Laptop,47D4FCD0,180782,22-10-2023,2,Elizabeth Anderson MD,Simsview,South
Mobile Phone,100DF3D1,192931,18-11-2023,5,Sarah Rocha,Garytown,Central
Mobile Phone,F4600CB1,190965,04-05-2024,10,Linda Kennedy,Josephland,West
Laptop,288B8A2A,187061,17-04-2023,2,Stephanie Smith,Lake Leslieport,South
Laptop,8EBCED1B,174203,25-04-2024,5,Emily Maldonado,Port Hailey,Central
Laptop,A741333C,27590,08-02-2025,9,Whitney Lopez,Port Sheila,East
Laptop,2C317FFC,174093,06-01-2025,8,Rebecca Johnson,Kathleenborough,Central
Mobile Phone,C8E72D90,117167,03-04-2024,6,Jose Tanner,Marychester,East
Mobile Phone,68E6607B,73496,25-12-2024,7,Joseph Monroe,Moorehaven,Central
Laptop,81B647C4,97535,23-11-2024,3,Brittany Young,New Angelaland,East
Mobile Phone,881EDB7D,59524,24-03-2023,3,Mary Price,Johnborough,East
Mobile Phone,58E38059,29217,11-10-2023,5,Edward Wong,Seantown,North
Laptop,080EE8C3,79152,04-02-2025,3,Sarah Bowman,East Rhonda,East
Mobile Phone,AD10525C,94283,19-06-2023,1,Sarah Campbell,Jamesmouth,West
Mobile Phone,211CE4AB,176264,05-06-2023,1,Brittany Duncan,West Taylorfort,North
Mobile Phone,EBACCB38,104060,08-02-2025,1,Crystal Campbell,Michaelmouth,Central
Mobile Phone,A08DBC33,189697,20-12-2024,1,William George,Allenshire,Central
Mobile Phone,A2498600,197003,27-02-2024,7,Jose Freeman,West Alyssaland,South
Mobile Phone,3BCF27C7,54466,13-07-2023,6,Michael Mcgrath,Pattonborough,South
Laptop,7275D496,198484,15-11-2024,2,Javier Compton,Peterbury,Central
Laptop,B1EADFDF,134245,20-03-2024,7,Terri Martinez,Martinezmouth,West
Mobile Phone,DE0F40C3,197343,13-08-2023,7,Thomas Fernandez,Bryanton,South
Mobile Phone,B6B204E7,162512,19-06-2023,9,James Bradley,Gomezstad,North
Laptop,876852EC,194169,16-08-2024,6,Tommy Smith,North Allison,South
Mobile Phone,C777EB83,105702,19-01-2025,8,Nancy Freeman,Alexaborough,South
Mobile Phone,DECCAC7F,131341,03-06-2023,2,Daniel Merritt,West Margaret,Central
Laptop,EB7BDFE5,139456,24-03-2023,1,Ryan Reyes,Lake Amanda,West
Laptop,4.05E+09,83235,01-09-2023,1,Jonathon Sampson,East Jeffrey,East
Laptop,C384DC60,135467,15-02-2024,1,Dean Williams,Cookstad,Central
Laptop,0BB62EEE,25617,20-08-2023,3,James Park,Riosmouth,South
Mobile Phone,A4489417,108439,21-06-2023,1,Brian Rush,Davisside,West
Laptop,EA01E6E2,123207,03-04-2023,9,Casey Burgess,Francisland,Central
Laptop,007DCA0E,45370,11-04-2023,9,Michael Soto,South Matthew,South
Laptop,0E914E1B,69894,15-03-2025,1,Thomas Rodriguez,Markfurt,West
Laptop,5DA380A9,169309,16-07-2024,4,Adam Hendrix,Lake Joseph,North
Mobile Phone,E7E1E6D8,50651,10-07-2024,5,Nicole Boyer,Nancyland,South
Laptop,F85A2139,199788,02-06-2024,6,Jessica Williams,Stephenfurt,East
Mobile Phone,9D22D1E5,100888,04-11-2024,7,Nicole Fitzgerald,Andreaport,East
Laptop,7F924E18,21140,15-11-2023,5,Caitlin Wise,Jaredmouth,Central
Laptop,3BC10D74,58996,08-06-2023,5,Margaret Murray,North Heidihaven,West
Mobile Phone,785A0358,135076,08-11-2024,1,Benjamin Nguyen,Smithview,West
Mobile Phone,3CB9091C,182404,17-03-2024,4,Christopher Woods,New Michael,West
Laptop,344226B7,190791,28-09-2023,7,Toni Murray,Joneschester,West
Laptop,017D292C,115958,24-06-2023,2,Kelly Howe,North Peggy,West
Laptop,B104C358,93139,09-04-2023,9,Wesley Hunt,Mariahton,South
Laptop,4AAFE732,14543,24-02-2025,3,Dr. Michelle Garcia DVM,Natashachester,North
Mobile Phone,BE5297AF,69080,11-04-2024,8,Todd Kramer,Port Beth,East
Mobile Phone,899FA409,154636,02-08-2024,9,Candice Callahan,Lake Johnside,East
Mobile Phone,0D14A52B,142112,20-01-2025,1,Matthew Alvarez,Lake Zacharyborough,West
Laptop,EF10A66F,163011,01-07-2024,6,Catherine Stephens,Staceyborough,West
Laptop,06A38179,190114,01-11-2024,4,Eric Carey,Port Brianhaven,West
Laptop,9ABD837E,161020,13-06-2023,10,Shelby Heath,Michaelside,South
Mobile Phone,F72BB0A1,28081,03-03-2025,10,Amy Alexander,South Robert,South
Laptop,19D722A8,194512,07-03-2024,4,William Jones,Nicholsfort,North
Mobile Phone,28E07097,146440,05-10-2023,2,Martha Young,Lake Johnton,Central
Mobile Phone,EAB2E27B,160587,01-05-2024,6,Larry Rhodes,South Roger,East
Mobile Phone,D4358B21,99213,25-04-2024,10,Craig Mccarthy MD,New Codymouth,West
Laptop,2.13E+09,105871,17-03-2024,8,Melissa Jones,Ibarrahaven,North
Mobile Phone,B6F33EA1,198341,29-09-2023,2,Christine Joyce,Lake Blakeport,East
Mobile Phone,9691BCCC,80584,27-08-2024,10,Betty Collins,Jessicatown,South
Mobile Phone,83A4088D,5620,06-05-2023,3,Tracy Villa,Michaelchester,Central
Laptop,08D91DEA,11883,23-12-2024,1,Stephanie Hines,Lake Justinfurt,Central
Mobile Phone,D4D6421A,13500,20-06-2024,2,Karen Morgan,Richardsland,West
Laptop,0A475B03,179804,24-12-2024,5,Melissa Davis,Kristenfort,South
Laptop,D1DC04D6,121070,03-06-2024,10,Kaitlin Odonnell,South Tonyafurt,East
Mobile Phone,73B575AC,105638,03-05-2024,7,Elaine Rivera,Brooksside,North
Mobile Phone,4B955411,80759,04-05-2024,2,James Mccormick,Justinfurt,North
Laptop,D39E4B35,87729,02-11-2024,1,William Anderson,Boothside,West
Mobile Phone,93A0FCA0,31533,12-08-2023,2,Melissa Powell,Lake Jared,West
Laptop,4C70112B,13904,23-05-2023,9,Dennis Smith,Taylorhaven,South
Mobile Phone,1470D57D,9949,28-01-2025,4,John Bailey,Danaview,West
Laptop,652823B7,137442,12-04-2024,8,Dustin Johnson,Lake Jacobburgh,West
Mobile Phone,7CC3269D,162779,07-07-2023,5,Thomas Murray,Rachelview,West
Mobile Phone,E0B0430B,15819,23-05-2023,9,Jessica Gordon,West Kelly,Central
Laptop,B3131763,184047,21-10-2024,5,Brandy Hall,Port Todd,West
Mobile Phone,1871A11B,154861,14-08-2023,4,Audrey Horne,Veronicamouth,West
Laptop,71DC8030,140714,31-12-2024,2,Sheena Cross,Williamsland,West
Mobile Phone,E00DF23B,17937,05-12-2024,10,Sharon Burns,Websterborough,North
Mobile Phone,1C74B4B6,107560,13-09-2023,6,Brenda Garner,East Shawnchester,South
Mobile Phone,31FFFBEA,144399,14-07-2023,8,Vanessa Hodges,Port Nicholas,East
Mobile Phone,CFDD54EB,141660,20-07-2024,7,Allen Mccoy,Kempmouth,West
Mobile Phone,EC0FE97B,134547,02-03-2025,3,Sarah Smith,South Thomas,South
Mobile Phone,4E9F4F8B,162771,26-04-2024,3,Christina Lang,Rachelside,Central
Mobile Phone,04F99953,106674,25-04-2024,5,Kenneth Singh,Lake Tiffany,East
Mobile Phone,74769112,40160,08-12-2024,6,Ashley Graves,Robinshire,East
Laptop,AD5505C0,88001,08-07-2024,5,Desiree Thomas,Micheleport,Central
Mobile Phone,6A592107,175882,05-02-2025,3,Kelsey Smith,Knightland,East
Laptop,A062EF38,60146,02-07-2024,1,Bethany Martinez,Sandovalburgh,West
Laptop,7B20AE7C,42273,22-07-2023,3,Michael Greer,Barberfurt,Central
Mobile Phone,8D3011E2,111476,21-08-2023,9,Brooke Johnson,West Edwardport,East
Mobile Phone,48079F17,143835,10-09-2023,6,Mr. Tyler Martinez,Port Christopher,Central
Laptop,AB98717A,131220,16-01-2025,8,Russell Bauer,North Brian,East
Laptop,FFF2AFEE,56130,15-06-2023,10,William Wagner,North James,West
Laptop,C79E4339,11155,30-01-2025,4,Lee Smith,South Lindsay,Central
Mobile Phone,D3F400A0,91426,21-07-2023,10,Jennifer Green,Meganview,West
Mobile Phone,0BBE140B,136835,13-02-2025,3,Dennis Brown,Paulborough,West
Mobile Phone,0872BC11,126593,28-11-2024,2,Eric Blake,Kimbury,West
Mobile Phone,F8D4B6FB,152180,15-06-2024,6,Suzanne Christian,Christinemouth,South
